,Algorithm,Feature_Set,Accuracy,Precision,Recall,F1_Score,Best_Params,Features_Used,time
35,XGBoost,Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.7726,0.7611,0.7726,0.7577,"{'n_estimators': 54, 'max_depth': 10, 'learning_rate': 0.06441625837573652, 'subsample': 0.6427372724383602, 'colsample_bytree': 0.8464497622467877}","['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",45
36,RandomForest,Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.7704,0.7525,0.7704,0.7543,"{'n_estimators': 280, 'max_depth': 26, 'min_samples_split': 2}","['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",45
38,KNN,Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.7454,0.7351,0.7454,0.7393,"{'n_neighbors': 5, 'weights': 'distance', 'p': 2}","['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",45
37,SVM (RBF),Seq: Raw Accel + ODBA + VeDBA + Magnitude,0.7528,0.7364,0.7528,0.7345,"{'C': 55.35718570400078, 'gamma': 'scale'}","['x_g', 'y_g', 'z_g', 'odba', 'vedba', 'mag']",45
30,XGBoost,Seq: Raw Accel + ODBA + VeDBA,0.7483,0.728,0.7483,0.7285,"{'n_estimators': 79, 'max_depth': 10, 'learning_rate': 0.10689810469292428, 'subsample': 0.5914471568324039, 'colsample_bytree': 0.8234426289011614}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",45
26,RandomForest,Seq: Raw Accel + ODBA,0.7498,0.7197,0.7498,0.7249,"{'n_estimators': 159, 'max_depth': 22, 'min_samples_split': 10}","['x_g', 'y_g', 'z_g', 'odba']",45
33,KNN,Seq: Raw Accel + ODBA + VeDBA,0.741,0.7193,0.741,0.7243,"{'n_neighbors': 8, 'weights': 'distance', 'p': 2}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",45
25,XGBoost,Seq: Raw Accel + ODBA,0.7454,0.7158,0.7454,0.723,"{'n_estimators': 246, 'max_depth': 8, 'learning_rate': 0.04223456501895631, 'subsample': 0.6469536989900599, 'colsample_bytree': 0.961640302474412}","['x_g', 'y_g', 'z_g', 'odba']",45
31,RandomForest,Seq: Raw Accel + ODBA + VeDBA,0.7476,0.7294,0.7476,0.7228,"{'n_estimators': 248, 'max_depth': 13, 'min_samples_split': 9}","['x_g', 'y_g', 'z_g', 'odba', 'vedba']",45
21,RandomForest,Seq: Raw Accel,0.7491,0.7002,0.7491,0.7221,"{'n_estimators': 158, 'max_depth': 23, 'min_samples_split': 7}","['x_g', 'y_g', 'z_g']",45
0,XGBoost,Indiv: Raw Accel,0.7417,0.7157,0.7417,0.718,"{'n_estimators': 258, 'max_depth': 7, 'learning_rate': 0.04310477913540731, 'subsample': 0.7622724617836305, 'colsample_bytree': 0.8211567691110554}","['x_g', 'y_g', 'z_g']",45
